지번주소,UMAP1,UMAP2,OPTICS_cluster_all,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  256-3,-1.2935524,16.641195,-1,698
서울특별시 광진구 광장동  256-4,-1.26058,16.609375,1674,2253
서울특별시 광진구 광장동  257-10,-1.2547865,16.602459,1673,2252
서울특별시 광진구 광장동  257-12,-1.2414868,16.591356,1672,2251
서울특별시 광진구 광장동  257-2,-1.2341307,16.579811,1671,2250
서울특별시 광진구 광장동  257-3,-1.251914,16.598864,1673,2252
서울특별시 광진구 광장동  257-4,-1.2448983,16.592243,1672,2251
서울특별시 광진구 광장동  257-5,-1.25277,16.599432,1673,2252
서울특별시 광진구 광장동  257-7,-1.2600996,16.607538,1674,2253
서울특별시 광진구 광장동  257-8,-1.2340199,16.576809,1671,2250
서울특별시 광진구 광장동  257-9,-1.2136711,16.55923,1670,2249
서울특별시 광진구 광장동  258-10,3.0336993,19.027115,18,29
서울특별시 광진구 광장동  258-11,3.0003264,19.006958,18,29
서울특별시 광진구 광장동  258-12,2.9835837,19.014702,18,29
서울특별시 광진구 광장동  258-13,3.0142028,19.00963,18,29
서울특별시 광진구 광장동  258-14,2.9794722,18.972963,19,30
서울특별시 광진구 광장동  258-15,2.975605,18.966524,19,30
서울특별시 광진구 광장동  258-16,2.989789,18.992538,18,29
서울특별시 광진구 광장동  258-18,3.0579078,19.03748,17,28
서울특별시 광진구 광장동  258-19,3.0574756,19.026106,17,28
서울특별시 광진구 광장동  258-22,3.07107,19.035357,17,28
서울특별시 광진구 광장동  258-25,-1.1844456,16.53926,1669,2248
서울특별시 광진구 광장동  258-26,-1.1741546,16.525927,-1,697
서울특별시 광진구 광장동  258-27,-1.177653,16.52872,1668,2247
서울특별시 광진구 광장동  258-28,3.0724523,19.02517,17,28
서울특별시 광진구 광장동  258-3,-1.212098,16.557838,1670,2249
서울특별시 광진구 광장동  258-30,3.069038,19.020702,17,28
서울특별시 광진구 광장동  258-31,3.0594919,19.028736,17,28
서울특별시 광진구 광장동  258-32,3.0086744,19.013182,18,29
서울특별시 광진구 광장동  258-33,2.9902496,18.963465,19,30
서울특별시 광진구 광장동  258-34,2.9826725,18.974573,19,30
서울특별시 광진구 광장동  258-35,2.9737506,18.946846,19,30
서울특별시 광진구 광장동  258-36,-1.1846514,16.53873,1669,2248
서울특별시 광진구 광장동  258-37,-1.1852163,16.539036,1669,2248
서울특별시 광진구 광장동  258-38,-1.1809533,16.534327,1668,2247
